text,cue_pos,experiencer_pos
Like OMG Marx is so FETCH! Dana Loesch has like the PERFECT take on Teen Vogue’s puff piece on Karl Marx and LOL,Like,Dana Loesch
Finding a repository for San Onofre plant's nuclear waste is a difficult task,Finding,
Sea of Solitude review - a dazzling and cathartic exploration of mental health,dazzling,Sea of Solitude review
Watch cellist Yo-Yo Ma play for harmony at the US-Mexico border,play,
Malaysia orders tonnes of imported waste to be returned,imported waste,Malaysia
Nancy Pelosi defends Joe Biden over racist senator comments,racist,Joe Biden
Rhode Island Is the Latest State To Abolish Onerous Hair-Braiding Licensing,Abolish,
Illegal Alien Charged with Murdering Four Americans Claims He Is ‘Mentally Disabled’,Murdering,Illegal Alien
OH PLEASE: Brian Stelter Lamely Denies CNN Aims Daily to Make Viewers 'Pissed',Pissed,Viewers
Pakistan opposition parties hold protest rallies against PM Khan,protest,Pakistan
Donald Trump Jr joined an army of dubious social media trolls to target Kamala Harris with a racist smear,joined,Donald Trump Jr
Sri Lanka attacks: 'They gave me a hug the night before',attacks,Sri Lanka
This Year’s “Near-Normal” Hurricane Season Could Still Be Devastating,Devastating,Hurricane
Hillary Clinton Says Election Was ‘Stolen’ From Her,Stolen,Hillary Clinton
The New Republic Continues Expansion with Editorial Hires,Expansion,The New Republic
Morning Joe Tosses Softballs to Dem Demanding DeVos Resign,Resign,Morning Joe
Border Patrol: US Facing 'Unprecedented' Immigration Crisis at Border,Crisis,Border Patrol
An Entire School Learned Sign Language To Welcome A Deaf Kindergartener,Learned,School
Unqualified UN Ambassador is the Perfect Weak Link,Unqualified,
Heart-breaking last moments of three-year-old who died in Christchurch mosque massacre,died,
State Department Admits Over 30 Security Breaches Related To Clinton Emails,Admits,State Department
KLAVAN: Three Cheers For The Patriotism Of The Deplorables,Patriotism,KLAVAN
Donald Trump even has lies hiding in the underpants of the secret service | First Dog on the Moon,has lies hiding,Donald Trump
"Real Madrid is 'most valuable club in Europe,' according to report",valuable,Real Madrid
Kim Jong-un sets conditions after Trump suggests third summit,conditions,Kim Jong
This DIY Artist Transforms into Haunted House Icons in This Hilarious Series,Transforms,
A leading scientist on aging says there is no magic pill for staying young—yet,magic,
"A New Nuclear Arms Race: As NATO Marks 70th Anniversary, Threat of Nuclear Confrontation Grows",Confrontation,
‘Her ambition got it wrong about Joe’: Harris faces debate backlash,backlash,Harris
Pentagon Shifting Another $1.5 Billion to the Border Wall,Shifting,Pentagon
Dems ask whether DOJ memo prevented prosecuting Trump for hush payments,hush payments,Dems
This one simple trick can make primaries a lot less annoying,annoying,
Measles vaccine fears cost me my children,fears,
Scientists in bid to set up a ‘poo bank’ as stool transplants prove to be effective,bid,
"Retired Justice John Paul Stevens Talks History, His New Book And Ping-Pong",Talks,John Paul Stevens
Couple infuriate officials by landing their helicopter in the middle of a California nature reserve,infuriate,officials
"Trump Declares Victory, Mocks Mueller Testimony: ‘This Was A Devastating Day For The Democrats’",Victory,Trump
"Gaza Militants Escalate Rocket Attacks On Israel, Multiple People Killed",Attacks,Gaza Militants
California snowpack 202% of average for this time of year,average,
Caster Semenya says she was ‘constantly sick’ when track officials made her take drugs to compete,sick,Caster Semenya
Almost No One Can Stop 8chan. So Cloudflare Is.,Stop,
Venezuelan regime circles opposition leader Guaidó,circles opposition leader,Guaidó
2019 is shaping up to be a very bad year for measles,bad,
US intel: Saudi's missile program got help from China,help,Saudi's
"Dow rises nearly 200 points at 27,363 -- surpasses July 15 closing record at 27,359.16",rises,Dow
Donald Trump reaches a disgusting new low and proves there is no bottom,disgusting,Donald Trump
Kemar Roofe razes Derby County to leave Leeds spying play-off final,razes,Kemar Roofe
Recruiting Women to Online Dating Was a Challenge,Recruiting,
Time to Kick the Islamizing Turkey Out of NATO,Kick,
Rex Tillerson to Congress: Jared Kushner Went Behind My Back on Foreign Policy,Behind My Back,Rex Tillerson
Review: ‘For the Good of the Game’,Good,
South Korea Says North Korea Has Fired Unidentified Projectiles,Fired,South Korea
‘Fixing’ Our Democracy Would Only Make Matters Worse.,Make Matters Worse,
CBS host hammers Lindsey Graham to his face for saying Trump didn’t do ‘one thing’ to obstruct Mueller: ‘Someone is lying’,hammers,CBS
Five things you didn’t know about Alexandria Ocasio-Cortez,Five things you didn’t know,
Bias Complaint Filed over Joke about Janet Jackson Nipple Incident,Complaint,
CA Housing Bill That Would Eliminate Most Single-Family Only Zoning On Hold Until 2020,Eliminate,
Dems seize offensive against Trump after detention center outrage,offensive,
20 People Killed In El Paso Shooting; 21-Year-Old Suspect In Custody,Killed,
Trump’s climate policies are so bad even Putin is trolling him,bad,Trump’s
Chinese woman arrested at Trump’s Mar-a-Lago resort to remain in custody,arrested,Chinese woman
It’s Illegal for Federal Officials to Campaign at Work. A Trump Official Just Did So.,Illegal,Federal Officials
"Ocasio-Cortez Doubles Down, Says VA Problems Are a ‘Myth’",Says,Ocasio-Cortez
Matt Gaetz: 'America First' Means Protecting U.S. Border Before Avenging Japanese Vessels,'America First',Matt Gaetz
Sigourney Weaver Surprises Students For Encore Performance Of Viral and#039;Alienand#039; Play,Surprises,Sigourney Weaver
Mexican Border State Local Police Accused of Protecting Gulf Cartel,Accused,Mexican Border State Local Police
Planting ‘Billions of Trees’ Isn’t Going to Stop Climate Change,Climate Change,
New Documents Raise Ethical and Billing Concerns about the NRA’s Outside Counsel,Raise,
Sri Lanka Easter Sunday attacks: what we know,attacks,
Hamas rebuffs leader's call for worldwide attacks on Jews,rebuffs,Hamas
Jeffrey Epstein prosecutors aided by ‘excellent investigative journalism’,aided,Jeffrey Epstein prosecutors
Saudi Arabia says two oil tankers attacked near UAE,attacked,Saudi Arabia
Australian Prime Minister Scott Morrison Hit In The Head With An Egg By Protestor,Hit,Australian Prime Minister Scott Morrison
"UN Human Rights Chief Condemns Saudi Arabia’s Execution Of 37, Expresses Concern Over ‘Sham Trials’",Condemns,UN
Ten Things You Need to Know Today: Saturday 30 Mar 2019,You Need,
Manila’s Abortion Ban Is Killing Women,Killing,
This ‘Uncensored’ Right-Wing Facebook Clone Allows Racism but Not Nudity,Racism,
Prison Riot Leaves 57 Dead in Northern Brazil,Dead,
Pelosi and Schumer Are Playing Too Nice,Nice,Pelosi and Schumer
Boris Johnson faces questions over ‘arguably racist’ comments,‘arguably racist’,Boris Johnson
Klobuchar fundraises for McConnell challenger: 'Two Amys are better than one',fundraises,
"30 dead, 200 missing after boat sinking on Congo lake",missing,
Her Mother Was Killed by U.S.-Backed Security Forces. Now Lucrecia Mack Is in Guatemala's Congress,Killed,Lucrecia Mack
Problematic Women: How Kamala Harris’ ‘Wage Gap’ Plan Would Actually Hurt Women,Problematic,
Google Blacklists Free Speech Platform Gab's Latest App,,Google
Ryan Babel’s late winner for Fulham leaves Cardiff on brink of relegation,late winner,Ryan Babel’s
"Believe it or not, the British pound is one of world’s best-performing major currencies this year",best-performing,the British pound
Trump on border: ‘It’s like Disneyland now’,like,Trump
"Julian Assange Suffered Severe Psychological and Physical Harm in Ecuadorian Embassy, Doctors Say",Suffered,Julian Assange
The Missouri River Flood Hits a Historic Native American Homeland,Flood,Native American
Pastor Jailed by Turkey Can’t Believe LGBT Persecution of Christians in USA,Jailed,Pastor
"Harry and Meghan Introduce Their Son, a Royal Named Archie",Introduce,Harry and Meghan
Zarif says Iran not seeking nuclear arms: Twitter,seeking,Zarif
Trump says he feels 'very badly' for Labor Secretary Acosta,very badly,Trump
Figure linked to Trump transition charged with transporting child pornography,charged,Trump
Trump claims he doesn’t know about any other investigations into his campaign,campaign,Trump
Watch Blue Checkmarks Shower Twitter Love On Anti-Semite Louis Farrakhan,Love,
Former Bush adviser: Senate should reject Stephen Moore,reject,
Trump's Furious At Underlings Who Made Him Look Bad In Mueller Report,Furious,Trump's
Catwalk gatecrasher becomes surprise fashion star,becomes,Catwalk gatecrasher
"Jeweller sells £4,250 Meghan Markle nappy-cream lid",sells,Jeweller
A police chief left her gun in an El Pollo Loco bathroom. Then someone stole it,stole,police chief
High-Income Households in High-Tax States Were Big Winners in GOP Tax Overhaul,Winners,
"Mom leaves her 3-year-old home alone for 'several hours' so she can go drinking with boyfriend — and is found drunk outside bar at 2 a.m., cops say",leaves her 3-year-old home alone,Mom
Here's what happened to President Trump's approval rating after the Mueller report,,President Trump's
House Approves “Sweeping” Provisions That Target Toxic “Forever Chemicals”,Approves,
Spokesperson: Mueller Officially 'Concluding His Service in Coming Days',Concluding,Mueller
WikiLeaks source Manning could be jailed again soon if she disobeys U.S. grand jury,disobeys,Manning
"Before AOC, There Was the SPD",Before,"AOC,"
House to probe rise in hate crimes since Trump was elected,hate,House
Trump Issues Executive Order Requiring All Govt Agencies to Provide Records on “Number of Citizens and Non-Citizens in Our Country”,,Trump
Fake Police Officers Steal $40M Gold From Brazilian Airport,Steal,Fake Police Officers
Paul Mpagi Sepuya Mines the Queer History of the Portrait Studio,Mines,Paul
Google Takes Action Against Whistleblower Who Called Out Political Bias,Takes Action Against Whistleblower,Google
Un agente de la Patrulla Fronteriza revela la realidad de ser guardia de niños migrantes,revela,agente
Puerto Rico doesn’t want political unrest to deter tourists from its beaches,doesn’t want,Puerto Rico
Exclusive--Buddy Carter: Mueller Hearings a 'Disaster' for the Democrats,Disaster,Buddy Carter
"Column: In tiny Oildale, the local barber, a Trump fan, has had it with California",fan,local barber
Hot weather and bad air start off the week for Southern California,weather,
The Coming End of an Era at NASA,End of an Era,
Rep. Ilhan Omar slams 'bigoted' Trump administration for barring pride flag from foreign embassies,slams,Ilhan Omar
Scientists Are Using Music To Help Build The Brains Of Premature Babies,To Help Build,Scientists
"Left Attacks Economist Art Laffer as 'Kook,' 'Destructive' Force","'Kook,' 'Destructive' Force",
"Ten U.S. states sue to stop Sprint-T-Mobile deal, saying consumers will be hurt",sue,U.S. states
Taseko Mines started at outperform with C$1.00 stock price target at BMO Capital,outperform,Taseko Mines
Peter Kennaugh takes break from cycling ‘to rediscover happiness’,takes,Peter Kennaugh
‘Star Wars: The Rise of Skywalker’ Trailer Debuts,Trailer,
Subtle Hints That It May Be Time to Clean Your Car,,
The One Question Trump Asks World Leaders In The Oval Office Will Send Christians Cheering,,Trump
The Judge and the Three-Strikes Convict,Convict,The Judge
Dear Pepper: Trouble with Two Friends,Trouble,
‘Italy’s Trump’ Launches a Nationalist Campaign to Destroy Europe,Destroy,
Bakery subjected to SJW protests by Oberlin College students wins $11 million verdict,protests,Bakery
Former Iranian minister: Iran will not be bullied,bullied,Iranian
Tlaib Tweets ‘Happy Passover’ Picture With Loaves of Bread,Happy,
Supreme Court Looks Ready to Support Republicans Yet Again,Support,Supreme Court
Today’s back pages: Maestro Messi is from another planet as Liverpool are floored,another planet,
Five beached whales in Florida saved by strangers,saved,Five beached whales
Check out the LSWA's Class 5A All-State Boys and Girls Basketball teams,Check out,
Mom suffers severe foot burns after stepping on sand under 'cold' disposable barbecue,suffers,Mom
Lena Headey on How a Deleted Game of Thrones Scene Could’ve Changed Cersei’s Story,Deleted,Lena Headey
"Apple, Microsoft, and Google are all releasing fixes for ZombieLoad, a scary security flaw in Intel chips that researchers just discovered (INTC)",scary,"Apple, Microsoft, and Google"
Jesus Army: shocking reports of life inside Christian cult,shocking,Jesus Army
"Mueller Finds No Trump-Russia Coordination, But ""Does Not Exonerate"" Trump of Obstruction of Justice",,
The Problem with the Mueller Report,Problem,
‘I can’t think of one thing’: Lindsey Graham gives four reasons why the idea that Trump obstructed justice is ‘absurd’,obstructed,Trump
The Alex Morgan Tea-Sipping World Cup Celebration Is the Ultimate Power Move,Celebration,Alex Morgan
Trump says he will seek U.S. trade accord with Brazil,,Trump
